original_name,canonical_name,canonical_id
Fengdong Shi,Fengdong Shi,128
Zhi Yuan,Zhi Yuan,129
Min Wang,Min Wang,130
Jun Cui,Jun Cui,131
Ricardo J. Rodríguez,Ricardo J. Rodríguez,132
Shupan Li,Shupan Li,133
Zhiping Shi,Zhiping Shi,134
Lili Jiang,Lili Jiang,135
Zhen Han,Zhen Han,136
Yulei Sui,Yulei Sui,137
Jun Ai,Jun Ai,138
Yaru Li,Yaru Li,139
Jackson Costa,Jackson Costa,140
Jueying Li,Jueying Li,141
Eunmi Choi,Eunmi Choi,142
Jae-Woo Lee,Jae-Woo Lee,143
Lov Kumar,Lov Kumar,144
Vikram Singh,Vikram Singh,145
Lalita Bhanu Murthy,Lalita Bhanu Murthy,146
Sanjay Misra,Sanjay Misra,147
Aneesh Krishna,Aneesh Krishna,148
Douglas Dias,Douglas Dias,149
Shuo Feng,Shuo Feng,150
Yulei Chen,Yulei Chen,151
Yuge Nie,Yuge Nie,152
Bei-Bei Yin,Bei-Bei Yin,153
Beibei Yin,Bei-Bei Yin,153
Huayao Wu,Huayao Wu,154
Guoze Hao,Guoze Hao,155
Lianchuan Ma,Lianchuan Ma,156
Carlos Melo,Carlos Melo,157
Felipe Oliveira,Felipe Oliveira,158
Jamilson Dantas,Jamilson Dantas,159
Paulo Pereira,Paulo Pereira,160
Ronierison Maciel,Ronierison Maciel,161
Lucas Vinícius,Lucas Vinícius,162
Laécio Rodrigues,Laécio Rodrigues,163
Matheus Torquato,Matheus Torquato,164
S. Russo,Stefano Russo,165
Stefano Russo,Stefano Russo,165
Guanping Xiao,Guanping Xiao,166
Zenghui Zhou,Zenghui Zhou,167
Gao-Rong Ning,Gao-Rong Ning,168
Gaorong Ning,Gao-Rong Ning,168
Zhenjiang Zhang,Zhenjiang Zhang,169
Jose Flora,Jose Flora,170
Paulo Goncalves,Paulo Goncalves,171
Miguel Teixeira,Miguel Teixeira,172
Nuno Antunes,Nuno Antunes,173
Eun-Tae Jang,Eun-Tae Jang,174
Sung Hoon Baek,Sung Hoon Baek,175
Ki-Woong Park,Ki-Woong Park,176
Kiejin Park,Ki-Woong Park,176
Felipe Battisti,Felipe Battisti,177
Arnaldo Silva,Arnaldo Silva,178
Luis Pereira,Luis Pereira,179
Tiago Carvalho,Tiago Carvalho,180
Jun Zhang,Jun Zhang,181
Shuo Li,Shuo Li,182
Pan He,Pan He,183
Alessandro Fantechi,Alessandro Fantechi,184
Gloria Gori,Gloria Gori,185
Marco Papini,Marco Papini,186
Leonardo Miranda,Leonardo Miranda,187
Cabral Lima,Cabral Lima,188
Daniel Sadoc Menasch,Daniel Sadoc Menasch,189
Guilherme Domingues,Guilherme Domingues,190
Yancai Zhou,Yancai Zhou,191
Yang Zheng,Yang Zheng,192
Zheng Hu,Zheng Hu,193
Yanming Miao,Yanming Miao,194
Zahra RAHMANI GHOBADI,Zahra RAHMANI GHOBADI,195
Hassan RASHIDI,Hassan RASHIDI,196
Junjun Zheng,Junjun Zheng,197
H. Okamura,Hiroyuki Okamura,198
Hiroyuki Okamura,Hiroyuki Okamura,198
T. Dohi,Tadashi Dohi,199
Tadashi Dohi,Tadashi Dohi,199
Nasraldeen Alnor Adam Khleel,Nasraldeen Alnor Adam Khleel,200
Károly Nehéz,Károly Nehéz,201
Shruthi P,Shruthi P,202
Yuekai Shi,Yuekai Shi,203
Yilin Qu,Yilin Qu,204
Junhuai Li,Junhuai Li,205
Jianjun Liu,Jianjun Liu,206
Satyendra Singh Chouhan,Satyendra Singh Chouhan,207
Santosh Singh Rathore,Santosh Singh Rathore,208
Besmir Tola,Besmir Tola,209
Yuming Jiang,Yuming Jiang,210
Bjarne E. Helvik,Bjarne E. Helvik,211
Petra Vizarreta,Petra Vizarreta,212
Christian Sieber,Christian Sieber,213
Andreas Blenk,Andreas Blenk,214
Amaury Van Bemten,Amaury Van Bemten,215
Vinod Ramachandra,Vinod Ramachandra,216
Wolfgang Kellerer,Wolfgang Kellerer,217
Carmen Mas-Machuca,Carmen Mas-Machuca,218
Mengting Liang,Mengting Liang,219
Dimeng Li,Dimeng Li,220
Lukas Beierlieb,Lukas Beierlieb,221
Lukas Ifflander,Lukas Ifflander,222
Aleksandar Milenkoski,Aleksandar Milenkoski,223
Samuel Kounev,Samuel Kounev,224
Jacopo Parri,Jacopo Parri,225
Samuele Sampietro,Samuele Sampietro,226
Ricardo M. Czekster,Ricardo M. Czekster,227
Daniel Sadoc Menasche,Daniel Sadoc Menasche,228
Vitaliy Yakovyna,Vitaliy Yakovyna,229
Bohdan Uhrynovskyi,Bohdan Uhrynovskyi,230
Mingxi Li,Mingxi Li,231
Megha Khanna,Megha Khanna,232
Mehak Aggarwal,Mehak Aggarwal,233
Naman Singhal,Naman Singhal,234
Zhuoqian Chen,Zhuoqian Chen,235
Houbao Xu,Houbao Xu,236
Kimia REZAEI KALANTARI,Kimia REZAEI KALANTARI,237
